"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Baldwin",2017,270,241,28,1,0,0,0,108,51,36,0,0,206,0,64,0
"Alabama","Clay",2017,118,104,14,0,0,0,0,66,52,30,0,0,0,0,118,0
"Alabama","Colbert",2017,283,265,18,0,0,0,0,63,48,37,0,0,218,0,65,0
"Alabama","DeKalb",2017,359,329,30,0,0,0,0,80,50,39,0,0,315,0,44,0
"Alabama","Elmore",2017,226,221,5,0,0,0,0,58,45,35,0,0,226,0,0,0
"Alabama","Etowah",2017,360,233,125,1,1,0,0,163,62,45,0,0,133,0,227,0
"Alabama","Houston",2017,281,260,20,1,0,0,0,131,48,35,0,0,203,0,78,0
"Alabama","Jefferson",2017,365,144,212,9,0,0,0,129,76,55,0,2,85,70,207,1
"Alabama","Lawrence",2017,122,114,8,0,0,0,0,80,43,23,0,0,0,0,122,0
"Alabama","Madison",2017,336,302,34,0,0,0,0,100,51,39,0,0,230,0,52,54
"Alabama","Mobile",2017,363,299,59,5,0,0,0,139,55,37,0,0,191,5,167,0
"Alabama","Montgomery",2017,346,214,129,2,0,1,0,221,63,45,0,0,119,0,227,0
"Alabama","Morgan",2017,364,317,47,0,0,0,0,80,52,39,0,0,184,0,180,0
"Alabama","Russell",2017,311,228,83,0,0,0,0,87,62,44,0,0,173,0,138,0
"Alabama","Shelby",2017,353,329,23,1,0,0,0,103,48,31,0,0,232,121,0,0
"Alabama","Sumter",2017,350,330,20,0,0,0,0,83,48,34,0,0,183,0,167,0
"Alabama","Talladega",2017,116,92,24,0,0,0,0,70,55,33,0,0,0,0,116,0
"Alabama","Tuscaloosa",2017,350,165,184,1,0,0,0,123,67,52,0,0,64,0,286,0
"Alaska","Aleutians East ",2017,118,118,0,0,0,0,0,29,18,9,0,0,0,0,118,0
"Alaska","Anchorage ",2017,365,313,51,1,0,0,0,105,57,22,6,0,0,0,208,151
"Alaska","Denali ",2017,360,360,0,0,0,0,0,49,42,34,0,0,357,0,3,0
"Alaska","Fairbanks North Star ",2017,365,240,80,25,20,0,0,180,115,38,0,11,111,1,242,0
"Alaska","Juneau ",2017,356,311,44,1,0,0,0,103,54,15,0,0,0,0,353,3
"Alaska","Kenai Peninsula ",2017,67,67,0,0,0,0,0,23,12,6,0,0,0,0,67,0
"Alaska","Matanuska-Susitna ",2017,365,309,51,4,1,0,0,155,58,30,0,0,221,0,119,25
"Arizona","Apache",2017,365,363,2,0,0,0,0,57,27,14,0,0,0,0,33,332
"Arizona","Cochise",2017,365,255,108,2,0,0,0,111,71,44,0,0,302,0,10,53
"Arizona","Coconino",2017,365,259,105,1,0,0,0,105,71,45,0,0,355,0,10,0
"Arizona","Gila",2017,365,69,155,120,21,0,0,200,130,84,0,0,93,256,0,16
"Arizona","La Paz",2017,358,276,80,2,0,0,0,105,64,43,0,0,342,0,13,3
"Arizona","Maricopa",2017,365,51,259,50,5,0,0,167,108,71,0,20,203,1,54,87
"Arizona","Mohave",2017,355,349,6,0,0,0,0,86,30,17,0,0,0,0,32,323
"Arizona","Navajo",2017,365,279,85,1,0,0,0,101,64,44,0,0,350,0,0,15
