stateid,state,abortion,abortlaw,attend,battle04,blkpct,bush00,bush04,carfatal,christad,college,conpct_m,cons_hr,defexpen,demnat,dempct_m,demstate,density,division,gb_win00,gb_win04,gore00,hispanic,hscat4,hsdip,indpct_m,kerry04,libpct_m,modpct_m,nader00,nobelts,over64,permit,prcapinc,region,reppct_m,seatbelt,trnout00,trnout04,to_0004,under20,unemploy,union,urban,womleg
AL,Alabama,15,4,47.619049,No,26.01,56.483757,62.459999,27.5,70.699997,20.6,40.677967,73,961,22.222221,38.876278,62.857143,85.800003,E. South Cent,Bush win,Bush win,41.566502,.99000001,low,67,29.965948,36.84,16.828087,42.493946,1.0996404,14.636949,13,26.566416,18038,South,31.157776,70.599998,50.59,54.790001,4.1999998,28,5.0999999,8.1000004,67.699997,5.6999998
AK,Alaska,14.2,3,,No,3.9100001,58.620956,61.07,16.1,31.799999,24.200001,36.324787,79,2586,0,26.141079,35.59322,1.1,Pacific,Bush win,Bush win,27.66634,3.9100001,high,87,43.568466,35.52,17.948717,45.726494,10.066886,5.3745928,4,,24081,West,30.290457,61,67.190002,54.799999,-12.39,34,7.8000002,22.299999,41.299999,21.700001
AZ,Arizona,19.1,6,34.959351,No,3.6199999,51.021137,54.830002,22.5,41.099998,21.9,33.333332,67,889,20,31.936508,37.777779,41.099998,Mountain,Bush win,Bush win,44.734585,22.15,med-high,79,29.714285,44.369999,19.235836,47.430832,2.9794075,8.7599058,14,45.528454,19180,West,38.349205,75.199997,44.639999,42.32,-2.3199999,29,5.5,5.1999998,87.599998,33.299999
AR,Arkansas,11.1,6,39.591835,No,16.08,51.307198,54.310001,25.299999,60.5,16.200001,38.877552,48,437,83.333336,43.063583,71.851852,48.700001,W. South Cent,Bush win,Bush win,45.864258,1.9299999,low,66,35.93449,44.549999,16.836735,44.285713,1.4559858,13.159968,15,22.44898,16911,South,21.001926,52.400002,46.93,50.240002,3.3099999,29,5.4000001,4.8000002,48.299999,11.1
CA,California,33.400002,5,28.002893,No,7.52,41.651367,44.360001,13.3,39.200001,26.4,28.466125,41,1152,63.636364,41.297142,60.833332,209.39999,Pacific,Gore win,Kerry win,53.44957,30.959999,med-low,76,25.828844,54.310001,24.205961,47.327911,3.8182793,3.0428262,10,48.191029,22905,West,32.874016,88.900002,54.610001,61.240002,6.6300001,31,7.1999998,16.6,96.599998,24.200001
CO,Colorado,18,4,27.054794,Yes,4.3299999,50.750214,51.709999,17.5,37.799999,34,32.385986,67.800003,1339,22.222221,29.677818,45,38.299999,Mountain,Bush win,Bush win,42.393509,14.56,high,84,37.732342,47.040001,21.678783,45.935226,5.2506995,7.3281288,10,43.835617,22662,West,32.58984,65.099998,57.549999,58.369999,.81999999,28,4.1999998,7.8000002,84,35
CT,Connecticut,23,3,34.574467,No,9.29,38.443604,43.950001,10,58.900002,31.4,27.272728,37.599998,929,57.142857,33.009708,61.497326,657.70001,New England,Gore win,Kerry win,55.90963,8.1899996,med-high,79,42.188881,54.310001,22.170687,50.556587,4.4159575,3.6346977,15,45.744682,28944,Northeast,24.801413,76.300003,60.860001,65.330002,4.4699998,27,5.6999998,15.4,95.599998,26.200001
DE,Delaware,34.400002,4,,No,19.35,41.904388,45.75,14.5,44.599998,25.1,30.152672,40,564,66.666664,37.943264,40.322582,380.39999,South Atlantic,Gore win,Kerry win,54.96212,3.49,med-high,78,36.879433,53.349998,22.519083,47.328243,2.5355439,7.3924732,13,,22952,South,25.177305,66.099998,57.360001,59.889999,2.53,28,5.1999998,11.4,81.900002,16.1
FL,Florida,30,3,39.672131,Yes,15.21,48.846828,52.099998,19.5,39.5,22.5,32.101246,67.900002,870,33.333332,37.478607,33.125,276.20001,South Atlantic,Bush win,Bush win,48.837822,15.04,med-low,74,28.047157,47.09,20.590599,47.308155,1.6348516,8.6015015,19,32.131149,22028,South,34.474236,64.800003,53.360001,61.790001,8.4300003,27,5.0999999,6.0999999,92.900002,18.1
GA,Georgia,21.200001,5,42.759796,No,28.540001,54.671818,57.970001,21.6,56.5,20.700001,38.115383,63.700001,1200,40,38.331497,56.170212,131.89999,South Atlantic,Bush win,Bush win,42.98476,2.8800001,low,71,30.099228,41.369999,17.615385,44.26923,.51725119,8.6888247,10,29.301533,20420,South,31.569277,73.599998,45.310001,49.59,4.2800002,29,4.5999999,6.6999998,68.5,17.4
