"","id","created_time","snippet","headline"
"1",1,"2019-06-30T16:00:02+0000","Readers discuss being a “climate refugee” from Miami, the need for bipartisan action and paying farmers for carbon capture.","The Politics of Climate Change"
"2",2,"2019-07-29T18:59:06+0000","“At the government level and in local communities around the world, women’s leadership improves outcomes of climate-related projects,” a reader writes. Also: Laundering by philanthropy.","Women and Climate Change"
"3",3,"2019-05-01T18:05:17+0000","Also this week, a quiz to help you assess your diet’s climate impact.","The Facts About Food and Climate Change"
"4",4,"2019-06-27T02:22:15+0000","The governor of Washington has made climate change his campaign’s singular focus, going so far as to call for a climate debate.","Jay Inslee on Climate Change"
"5",5,"2019-05-28T19:44:11+0000","Amid reader despair are “glimmers of hope”: renewable energy policies by states and a timetable that keeps the U.S. in the Paris accord till 2020.","Undermining the Science of Climate Change"
"6",6,"2019-07-18T22:16:38+0000","The average number of heat waves in 50 major American cities has tripled since the 1960s. ","Heat Waves in the Age of Climate Change: Longer, More Frequent and More Dangerous"
"7",7,"2019-06-13T17:44:56+0000","Readers wrestle with their carbon footprint. “Does travel equate to being a bad person?” one asks.","Is Travel Ethical at a Time of Climate Change?"
"8",8,"2019-06-19T06:20:32+0000","We asked the candidates whether it’s possible for the next president to stop climate change.","2020 Democrats on Climate Change"
"9",9,"2019-06-14T22:10:34+0000","Hint: It’s not Washington.","Where the Climate Change Action Is"
"10",10,"2019-07-25T12:33:59+0000","A path of trampled grass leads up the hill to St. Helen's, the only church on Lundy Island. Near its doors, a stray lamb nibbles on tufts of tall weeds. From a Gothic tower topped with the English flag, the coastline of Devon is faintly visible to...","Special Report: A Cloudspotter's Guide to Climate Change"
"11",1,"2019-06-11T22:50:05+0000","The regulator, who sits on a powerful government panel that oversees major financial markets, likened global warming risks to the 2008 mortgage crisis.","Climate Change Poses Major Risks to Financial Markets, Regulator Warns"
"12",2,"2019-05-14T08:00:02+0000","The New York Times photographer Josh Haner has spent the past four years capturing the effects of climate change around the world and under water.","Documenting Climate Change by Air, Land and Sea"
"13",3,"2019-04-12T12:00:05+0000","Mutual funds are investing in companies that can help mitigate greenhouse gas emissions and aid in adaptation to climate change.","Climate-Change Funds Try to Profit From a Warming World"
"14",4,"2019-06-27T09:00:07+0000","How to talk about it: “A lot of people, when they talk to children, are processing their own anxiety and fears,” a psychologist said.","Climate Change Is Scaring Kids. Here’s How to Talk to Them."
"15",5,"2019-07-31T17:15:55+0000","Businesses that fail to adapt to climate change will go bust, Bank of England Governor Mark Carney said on Wednesday, but others will be able to profit handsomely from funding green investment.","BoE's Carney Warns of Bankruptcy for Firms That Ignore Climate Change"
"16",6,"2019-07-31T18:15:56+0000","Scientists surveying reindeer populations in Norway said the deaths occurred on iced pastures in the Arctic, a result of global warming’s effect on a vulnerable ecosystem.","200 Reindeer Starved to Death. Experts Call It a Sign of Climate Change."
"17",7,"2019-05-06T16:21:47+0000","The tigers of the Bangladesh Sundarbans may be gone in fifty years, according to a new study.","Bengal Tigers May Not Survive Climate Change"
"18",8,"2019-06-04T04:01:09+0000","Some of the world's largest companies estimate they face roughly $1 trillion in climate-related risks, with most of that looming in just the next five years.","Companies See Climate Change Hitting Their Bottom Lines in the Next 5 Years"
"19",9,"2019-05-07T12:36:15+0000","The disagreement left the Arctic Council, which was formed to help protect the region's fragile environment, unable to issue a joint declaration for the first time in its history.","U.S. Pressure Blocks Declaration on Climate Change at Arctic Talks"
"20",10,"2019-06-09T15:51:36+0000","Three years after the school board passed a resolution mandating climate justice education in all public schools, a rollout may be coming.","As Students Clamor for More on Climate Change, Portland Heeds the Call"
"21",1,"2019-07-24T04:15:30+0000","A group of U.S. House Democrats on Tuesday unveiled a climate change plan they said featured a ""more realistic"" goal to cut carbon emissions to net zero by 2050 rather than by 2030 as envisioned under the Green New Deal introduced early this year....","House Democrats Unveil More 'Realistic' Climate Change Plan"
"22",2,"2019-07-23T22:54:45+0000","A group of U.S. House Democrats on Tuesday unveiled a climate change plan they said featured a ""more realistic"" goal to cut carbon emissions to net zero by 2050 rather than by 2030 as envisioned under the Green New Deal introduced early this year....","House Democrats Unveil More 'Realistic' Climate Change Plan"
